driverId,week,hours-logged,miles-logged
54,23,55,0
87,6,65,3900
34,31,71,200
12,11,71,1500
88,52,73,2800
62,11,78,1700
64,37,68,1900
79,37,76,500
38,18,75,3500
10,12,69,1100
55,37,78,2200
85,35,51,1400
80,15,73,2300
47,33,71,2900
84,9,78,3900
99,51,55,2800
13,50,50,2300
96,42,61,500
106,22,67,1200
24,29,70,2600
32,20,64,2300
107,43,79,300
34,38,55,2600
38,29,57,1700
58,50,55,3200
62,14,78,2600
24,34,79,1900
44,14,61,2800
49,5,56,1900
59,18,61,900
83,32,56,2800
48,1,76,2500
45,10,71,3300
108,38,62,3600
55,16,63,200
56,43,71,900
95,31,53,3700
81,10,52,800
30,9,55,2800
20,7,74,3200
34,41,58,2300
92,39,54,200
26,41,60,3800
102,4,61,3500
74,27,76,4000
23,44,52,2000
105,11,77,3300
88,20,63,3100
32,10,53,500
15,17,53,3200
71,44,57,3500
98,16,54,800
61,33,79,1600
106,46,56,0
69,45,79,3000
27,18,73,1400
11,23,76,3500
23,1,76,1500
66,37,68,3300
42,13,59,2700
104,17,79,1300
98,19,56,3100
60,7,79,1800
77,6,68,1600
34,45,56,2900
37,28,51,900
21,20,61,1800
32,33,55,700
105,13,63,100
100,42,62,200
43,29,80,600
13,49,57,0
88,35,54,900
32,38,53,0
39,3,77,700
56,39,58,600
52,29,59,3900
63,10,51,300
20,29,60,1300
98,6,57,400
24,20,76,2100
30,37,60,600
57,12,59,800
72,5,79,900
88,13,73,3000
58,27,51,2200
65,15,52,700
19,7,73,1100
57,26,61,0
47,17,75,1400
26,33,72,1300
102,3,56,700
77,17,61,800
12,33,56,1500
35,44,52,2400
39,31,51,2200
83,9,78,1700
14,52,71,2800
49,41,72,300
21,12,63,2900
38,48,50,1800
84,35,77,500
103,4,65,2900
57,17,54,2900
106,33,64,2200
95,28,70,1800
69,28,51,1000
66,45,63,1700
61,33,75,1800
59,19,62,2800
59,44,68,3400
25,48,77,600
22,17,77,1600
54,21,76,100
34,37,56,3900
104,14,77,3500
13,32,76,1000
40,45,67,1600
57,19,74,1500
92,2,66,2900
46,7,64,2300
48,9,71,2600
64,46,79,3600
43,26,80,2300
49,10,61,2500
40,26,69,0
11,14,74,2800
53,17,58,4000
17,6,76,3900
66,15,73,3300
42,16,74,1500
55,14,71,2000
58,22,78,1400
25,15,65,700
74,31,78,1600
79,20,61,2700
10,2,63,3900
71,23,57,3400
72,48,79,3000
46,24,69,500
92,30,56,1900
101,50,69,1200
11,32,56,1600
29,49,79,100
41,25,67,3000
56,50,73,3900
76,34,60,2900
26,17,71,1600
22,10,73,2100
101,14,75,700
57,29,73,3300
51,41,55,1700
73,2,64,400
77,15,56,0
81,47,76,1200
53,52,64,3400
19,15,72,2300
88,28,59,1000
35,36,58,1100
32,4,51,2800
66,51,63,400
96,15,64,2200
84,3,56,900
16,8,53,3900
88,13,57,3400
34,20,76,2200
35,2,63,1800
46,47,56,300
54,12,61,1600
91,41,62,1200
31,26,64,1400
37,33,80,2000
55,46,76,2200
21,27,65,100
75,31,56,2900
71,38,76,2700
88,44,62,3200
30,14,62,1200
67,14,60,1800
67,5,70,500
24,30,66,900
32,19,75,1300
19,7,50,2200
38,14,55,3500
60,28,79,2100
24,42,56,1200
33,20,65,1200
88,9,54,1200
49,44,51,200
34,33,50,1200
44,41,64,900
56,43,69,2600
59,37,54,3100
49,9,76,1900
34,50,62,3500
83,19,61,2000
65,22,72,2300
75,39,61,1000
104,41,71,0
47,43,53,4000
94,26,71,2700
24,7,63,2100
28,7,60,200
28,48,75,3700
45,34,70,2400
57,4,73,1800
46,19,67,100
98,14,59,3100
73,38,55,800
48,19,60,3700
71,23,74,1400
19,3,80,3400
62,44,62,2100
27,9,61,2100
97,2,64,2000
10,52,65,700
94,7,61,1600
52,41,67,2700
99,40,73,1300
75,37,77,1400
108,23,71,4000
36,17,63,3000
50,33,61,1800
48,42,68,1600
85,8,64,2900
100,44,77,1100
84,33,74,200
109,3,67,500
85,3,63,1900
93,11,78,3600
42,35,60,1800
86,21,78,3500
11,30,61,2000
101,6,63,1600
99,36,77,2800
105,19,67,1700
43,10,75,1800
22,23,56,3800
101,38,51,2700
27,6,64,2600
100,20,76,3100
40,17,52,300
72,49,60,100
69,29,59,700
34,9,55,1700
83,51,72,900
41,30,73,1300
29,9,59,3500
61,51,62,3700
54,8,59,2000
34,17,64,3600
23,42,58,1700
50,4,53,1600
61,8,59,3800
34,13,54,3500
13,40,61,400
72,34,75,1200
85,29,54,1800
26,6,53,2600
71,24,57,3800
41,38,77,100
80,35,68,3800
24,17,69,2300
75,18,71,2900
26,28,71,1100
46,40,58,3500
59,13,52,1800
54,50,60,500
37,51,54,1600
63,19,61,2400
34,36,70,3900
42,8,59,3400
30,50,58,1800
80,7,59,400
41,19,80,2900
106,19,50,0
34,42,80,1800
37,27,70,800
40,32,71,2000
47,46,65,3500
89,36,50,2900
17,43,67,2700
60,33,76,400
21,11,65,1000
83,36,59,1400
79,50,68,3600
16,14,76,2700
33,14,77,2000
58,2,63,3000
86,52,79,3300
53,27,78,600
20,52,74,1700
54,32,60,0
98,10,59,600
70,4,73,1500
83,35,62,1800
45,30,64,200
92,16,69,900
76,49,65,1400
108,12,56,100
58,30,52,1900
61,45,73,1900
109,19,79,2000
82,37,68,2900
35,50,64,1200
87,47,67,1400
52,7,70,1300
88,19,73,1700
70,8,80,200
13,1,69,3500
76,48,73,3500
47,18,66,1600
50,23,73,1300
98,38,73,1100
77,50,79,2100
87,14,55,3800
102,31,71,1400
13,43,76,3900
109,43,51,3400
37,19,65,1400
95,42,52,3400
15,26,75,2400
17,51,53,2800
62,39,53,1200
66,40,60,4000
21,12,56,1800
106,33,57,1200
50,21,66,1600
50,46,71,3700
24,5,53,3400
82,19,51,800
31,29,61,3700
46,13,68,2600
60,4,68,2600
28,25,54,200
23,23,72,3200
82,40,64,1300
76,4,50,100
19,35,69,1700
87,43,77,100
96,22,51,300
102,13,76,1400
10,50,67,300
79,19,67,300
15,20,72,1600
23,27,68,1800
30,6,54,3600
83,4,68,200
71,13,76,500
71,14,58,3300
83,50,80,1000
94,29,51,3500
34,13,71,600
56,15,62,2200
18,20,60,3600
16,47,74,3500
75,22,57,2700
35,30,67,2200
50,13,79,3800
16,32,62,1600
53,35,79,3400
78,46,52,400
26,37,74,300
20,2,53,2300
102,3,59,700
28,1,63,2000
66,22,73,1900
102,23,73,2100
103,11,72,3200
57,20,73,200
58,36,78,200
23,8,50,2500
104,46,53,1500
109,30,71,3300
92,18,70,1600
30,28,51,2300
101,29,64,2500
14,26,65,1600
90,49,79,2100
56,12,59,400
79,48,73,2000
108,1,50,2900
54,45,53,3900
32,41,72,2800
16,44,50,1600
95,31,55,1100
33,16,73,3500
106,18,72,3300
35,8,50,2900
42,16,59,1300
51,35,55,500
24,52,69,600
67,42,66,3200
18,39,75,3900
44,19,67,2000
85,8,57,3400
89,50,70,1000
29,10,61,4000
56,20,70,1200
98,24,73,2600
39,17,72,500
76,20,80,2500
105,41,75,2700
37,51,77,3200
51,37,71,1600
82,36,57,1300
15,3,68,1400
65,31,61,2300
37,52,59,2400
107,30,69,3900
61,25,71,100
90,2,63,400
55,21,75,2500
92,11,79,700
21,38,69,2400
37,15,50,2500
105,21,76,1900
80,33,62,1000
30,43,79,400
36,4,67,1900
96,5,63,3900
25,15,59,3100
23,50,67,3700
99,22,63,1400
14,42,54,2500
108,25,75,3300
19,13,60,1700
29,42,58,300
70,30,80,1100
21,26,67,4000
39,25,54,3300
61,27,55,0
94,46,67,2400
99,31,51,1400
99,35,57,1800
36,6,58,2400
62,42,72,3500
76,52,76,1000
97,49,68,600
31,47,68,1900
86,2,54,2100
78,27,57,2800
84,34,52,1600
74,41,68,800
49,7,78,3000
107,26,67,1700
66,42,79,2000
103,27,78,2400
88,41,52,900
38,41,56,2500
104,16,51,0
17,2,52,4000
26,43,72,1200
108,49,65,3300
74,15,58,1600
48,36,68,3800
31,35,77,2600
37,11,61,300
38,37,65,800
15,4,50,1100
51,52,63,1300
46,22,67,2200
28,36,76,1500
35,49,74,800
36,36,73,2500
32,7,53,1200
71,9,66,0
20,35,74,3100
43,14,57,3000
15,14,77,0
40,40,73,500
78,22,74,3800
13,43,59,3700
64,5,69,1400
18,1,76,4000
55,18,66,1700
39,3,58,4000
16,33,78,0
109,27,79,1000
20,52,60,600
15,18,51,2100
75,49,53,0
27,38,67,1500
17,7,51,2500
22,29,75,1900
62,31,80,1000
88,51,62,1600
13,47,68,1100
11,24,62,2500
38,40,56,2000
20,22,64,2100
86,32,80,1100
16,6,63,2100
93,46,57,500
93,3,78,1400
16,44,69,3200
95,30,62,300
44,13,50,4000
76,39,71,3600
44,32,77,2600
93,17,50,1000
68,37,61,700
70,29,62,2900
105,49,57,900
10,34,70,2400
22,46,52,1600
73,23,71,2000
21,21,60,3200
38,33,79,3100
24,46,74,3600
63,32,62,4000
66,22,71,3700
92,52,76,3700
11,26,55,1300
12,15,61,2600
55,35,53,2000
72,14,66,2800
19,46,54,3400
83,19,80,300
22,33,72,800
105,48,64,1500
105,12,67,3100
100,16,64,2700
55,39,54,1000
17,28,71,0
31,38,57,0
26,2,59,1500
61,17,74,2300
20,15,69,3600
49,12,70,2600
94,11,64,1300
109,13,55,2000
56,32,62,3800
12,7,55,1000
103,19,50,3800
59,50,72,3100
105,8,80,2500
105,19,62,3300
30,9,73,800
76,29,55,2600
16,3,75,3000
68,34,73,1500
72,1,59,2000
97,35,70,3400
87,21,77,2800
80,24,55,1500
62,24,50,1000
70,14,74,3300
48,11,72,3900
22,43,52,1100
49,12,60,400
57,28,75,2300
109,41,80,1900
66,3,77,300
69,21,53,3500
33,15,53,1100
20,2,63,1900
66,25,72,600
87,37,78,1400
40,38,74,1300
85,48,59,1000
70,10,72,3200
12,29,60,300
77,35,61,500
104,33,52,2900
52,26,67,600
93,41,51,800
71,41,75,500
47,29,54,2400
53,29,59,700
84,3,62,3700
64,11,67,1200
78,6,79,2300
105,45,54,3900
72,43,68,200
95,39,80,2300
22,13,60,400
50,4,53,1300
10,11,72,3800
56,29,67,100
64,28,64,1900
30,4,75,400
71,15,67,1200
98,30,59,2500
60,11,64,2800
97,8,52,1900
55,6,51,1600
10,15,67,3400
80,4,62,1500
45,49,72,3300
83,47,52,1800
101,32,74,1900
31,26,62,0
70,12,56,1100
50,51,69,900
59,18,70,1500
11,4,58,3400
68,33,79,1600
11,50,62,3000
19,40,69,1800
107,47,79,400
60,50,56,1400
74,18,77,0
87,52,59,2500
47,40,61,500
91,30,60,2500
54,35,73,2300
40,35,80,1100
59,38,54,2000
48,39,54,2900
14,4,56,1900
53,39,67,1600
23,21,67,600
43,52,77,500
25,45,54,1800
43,32,54,400
88,13,60,2400
28,31,73,100
102,2,64,400
41,31,65,2700
50,45,75,100
34,13,61,1500
29,10,72,3600
80,51,59,500
64,24,68,3000
16,4,65,1300
26,42,55,100
50,17,70,2600
80,45,60,3600
91,14,71,2500
77,46,58,1900
26,35,51,600
71,37,59,600
52,50,74,4000
35,21,80,3200
74,6,58,2400
11,47,57,1700
48,50,57,4000
73,1,65,2400
46,40,62,200
52,10,73,2400
95,39,75,1100
107,19,69,1000
50,7,69,2700
100,42,58,2600
26,6,53,3200
11,37,52,2000
86,7,51,2600
38,21,78,500
78,22,66,3800
103,45,55,3200
39,25,79,400
83,15,75,2500
48,4,61,3100
79,22,53,3300
39,25,57,2200
53,23,56,2700
55,9,62,3400
42,17,80,3500
69,24,73,800
13,14,55,2900
28,44,57,3300
68,39,71,3100
47,31,76,1600
99,51,62,4000
79,37,74,400
62,14,61,2200
102,20,72,100
70,47,77,700
89,40,78,1200
60,17,75,2100
107,21,70,400
24,4,58,2200
54,47,50,2100
41,42,63,1400
61,35,71,2100
74,34,58,100
57,44,67,200
38,23,77,2200
84,41,72,1000
98,36,51,600
15,18,54,3600
58,13,79,800
108,10,75,2800
92,48,70,600
19,51,70,2900
27,28,71,3900
85,46,62,4000
79,17,55,800
26,4,75,1400
103,30,53,1200
35,30,50,3700
55,42,75,3300
68,12,80,0
86,51,78,3600
49,2,66,3600
87,16,76,2600
90,22,79,3100
35,13,54,3200
97,34,62,2700
48,6,80,3900
52,45,73,2100
86,35,56,2800
44,22,56,2600
49,7,58,3500
93,14,53,2700
12,4,58,1300
